Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H4,2012,2012,2012,6,1,1,Import,360,Indonesia,IDN,156,China,CHN,,,,,,,,240110,"Tobacco, (not stemmed or stripped)",8,Weight in kilograms,13612257,,,,13612257,,68607761,,,0
H4,2012,2012,2012,6,1,2,Export,360,Indonesia,IDN,156,China,CHN,,,,,,,,240110,"Tobacco, (not stemmed or stripped)",8,Weight in kilograms,1251479,,,,1251479,,6132661,,,0
H4,2012,2012,2012,6,1,1,Import,360,Indonesia,IDN,458,Malaysia,MYS,,,,,,,,240110,"Tobacco, (not stemmed or stripped)",8,Weight in kilograms,697003,,,,697003,,4492573,,,0
H4,2012,2012,2012,6,1,2,Export,360,Indonesia,IDN,458,Malaysia,MYS,,,,,,,,240110,"Tobacco, (not stemmed or stripped)",8,Weight in kilograms,172292,,,,172292,,930426,,,0
H4,2012,2012,2012,6,1,2,Export,360,Indonesia,IDN,643,Russian Federation,RUS,,,,,,,,240110,"Tobacco, (not stemmed or stripped)",8,Weight in kilograms,377820,,,,377820,,381877,,,0
H4,2012,2012,2012,6,1,1,Import,360,Indonesia,IDN,842,USA,USA,,,,,,,,240110,"Tobacco, (not stemmed or stripped)",8,Weight in kilograms,885235,,,,885235,,7068548,,,0
H4,2012,2012,2012,6,1,2,Export,360,Indonesia,IDN,842,USA,USA,,,,,,,,240110,"Tobacco, (not stemmed or stripped)",8,Weight in kilograms,2882284,,,,2882284,,6528201,,,0
H4,2013,2013,2013,6,1,1,Import,360,Indonesia,IDN,156,China,CHN,,,,,,,,240110,"Tobacco, (not stemmed or stripped)",8,Weight in kilograms,13831714,,,,13831714,,63149460,,,0
H4,2013,2013,2013,6,1,2,Export,360,Indonesia,IDN,156,China,CHN,,,,,,,,240110,"Tobacco, (not stemmed or stripped)",8,Weight in kilograms,978805,,,,978805,,8366694,,,0
H4,2013,2013,2013,6,1,1,Import,360,Indonesia,IDN,458,Malaysia,MYS,,,,,,,,240110,"Tobacco, (not stemmed or stripped)",8,Weight in kilograms,215658,,,,215658,,1625319,,,0
