Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H5,2017,2017,2017,6,1,1,Import,360,Indonesia,IDN,156,China,CHN,,,,,,,,240120,Tobacco; partly or wholly stemmed or stripped,8,Weight in kilograms,47660295,,,,47660295,,222910963,,,0
H5,2017,2017,2017,6,1,2,Export,360,Indonesia,IDN,156,China,CHN,,,,,,,,240120,Tobacco; partly or wholly stemmed or stripped,8,Weight in kilograms,17920,,,,17920,,154112,,,0
H5,2017,2017,2017,6,1,1,Import,360,Indonesia,IDN,458,Malaysia,MYS,,,,,,,,240120,Tobacco; partly or wholly stemmed or stripped,8,Weight in kilograms,574799,,,,574799,,2805051,,,0
H5,2017,2017,2017,6,1,2,Export,360,Indonesia,IDN,458,Malaysia,MYS,,,,,,,,240120,Tobacco; partly or wholly stemmed or stripped,8,Weight in kilograms,496362,,,,496362,,3793604,,,0
H5,2017,2017,2017,6,1,1,Import,360,Indonesia,IDN,643,Russian Federation,RUS,,,,,,,,240120,Tobacco; partly or wholly stemmed or stripped,8,Weight in kilograms,143,,,,143,,1842,,,0
H5,2017,2017,2017,6,1,2,Export,360,Indonesia,IDN,643,Russian Federation,RUS,,,,,,,,240120,Tobacco; partly or wholly stemmed or stripped,8,Weight in kilograms,460516,,,,460516,,550100,,,0
H5,2017,2017,2017,6,1,1,Import,360,Indonesia,IDN,842,USA,USA,,,,,,,,240120,Tobacco; partly or wholly stemmed or stripped,8,Weight in kilograms,6606322,,,,6606322,,55513108,,,0
H5,2017,2017,2017,6,1,2,Export,360,Indonesia,IDN,842,USA,USA,,,,,,,,240120,Tobacco; partly or wholly stemmed or stripped,8,Weight in kilograms,2955830,,,,2955830,,7544767,,,0
H5,2018,2018,2018,6,1,1,Import,360,Indonesia,IDN,156,China,CHN,,,,,,,,240120,Tobacco; partly or wholly stemmed or stripped,8,Weight in kilograms,32647852,,,,32647852,,148076511,,,0
H5,2018,2018,2018,6,1,2,Export,360,Indonesia,IDN,156,China,CHN,,,,,,,,240120,Tobacco; partly or wholly stemmed or stripped,8,Weight in kilograms,19580,,,,19580,,162514,,,0
